Start Task       : 2021-08-03-1048
Select Truckload : 120
Truckload No.    : TM21070031
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 8
Doc Max.         : 19
G Tote L.        : 14
G Tote M.        : 8
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 19
Send TMS         : {"truckload_index":"6bf5dcb5-b01b-42b8-8cf2-00e5907dd00f","truckload_no":"TM21070031","tm_index":"b01723dd-108d-4964-b851-a50bf686c4dd","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"8","docreturn_max":"19","return_tote_qty_xl":14,"return_tote_qty_m":8,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":19}
Send TMS Result  : False
Truckload No.    : TM21070075
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 16
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 16
Send TMS         : {"truckload_index":"9b2c704b-d4c1-4a52-aea3-03db52790a0a","truckload_no":"TM21070075","tm_index":"dabe9802-408e-4fdb-a0fa-a1eb7221c871","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"16","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":16}
Send TMS Result  : False
Truckload No.    : TM21070100
Return Date.     : 7/9/2021 12:00:00 AM
Tote L Max.      : 15
Tote M Max.      : 7
Doc Max.         : 18
G Tote L.        : 15
G Tote M.        : 7
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 18
Send TMS         : {"truckload_index":"cc36f742-7244-4c26-8e17-044219146760","truckload_no":"TM21070100","tm_index":"dd257a3b-3860-4768-96ae-611ea83df021","truckload_return_date":"2021-07-09T00:00:00","return_tote_max_xl":"15","return_tote_max_m":"7","docreturn_max":"18","return_tote_qty_xl":15,"return_tote_qty_m":7,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":18}
Send TMS Result  : False
Truckload No.    : TM21070039
Return Date.     : 7/7/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 6
Doc Max.         : 10
G Tote L.        : 13
G Tote M.        : 6
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 10
Send TMS         : {"truckload_index":"4d8a5657-d7d5-46fa-8491-04dd940aaafd","truckload_no":"TM21070039","tm_index":"d0496fcb-7592-4116-b80f-cf50c282906c","truckload_return_date":"2021-07-07T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"6","docreturn_max":"10","return_tote_qty_xl":13,"return_tote_qty_m":6,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":10}
Send TMS Result  : False
Truckload No.    : TM21070083
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 13
Tote M Max.      : 3
Doc Max.         : 8
G Tote L.        : 13
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 8
Send TMS         : {"truckload_index":"17813d26-b2ca-441b-93b8-09eda99112db","truckload_no":"TM21070083","tm_index":"ca54f504-04d1-44bf-a433-eca1a43ed429","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"13","return_tote_max_m":"3","docreturn_max":"8","return_tote_qty_xl":13,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":8}
Send TMS Result  : False
Truckload No.    : TM21070065
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 10
Tote M Max.      : 3
Doc Max.         : 12
G Tote L.        : 10
G Tote M.        : 3
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 12
Send TMS         : {"truckload_index":"fa50acb3-340e-4b1a-86e2-0bb132f6830c","truckload_no":"TM21070065","tm_index":"23429604-b8f2-44a5-a933-b37630bc6050","truckload_return_date":"2021-07-08T00:00:00","return_tote_max_xl":"10","return_tote_max_m":"3","docreturn_max":"12","return_tote_qty_xl":10,"return_tote_qty_m":3,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":12}
Send TMS Result  : False
Truckload No.    : TM21070007
Return Date.     : 7/3/2021 12:00:00 AM
Tote L Max.      : 14
Tote M Max.      : 5
Doc Max.         : 14
G Tote L.        : 14
G Tote M.        : 5
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 14
Send TMS         : {"truckload_index":"64ef34f9-49e9-4556-8c20-0f9cec8c5dd3","truckload_no":"TM21070007","tm_index":"1192f2aa-d16b-4636-9bb0-c3b5f445d711","truckload_return_date":"2021-07-03T00:00:00","return_tote_max_xl":"14","return_tote_max_m":"5","docreturn_max":"14","return_tote_qty_xl":14,"return_tote_qty_m":5,"return_tote_qty_dmg_xl":0,"return_tote_qty_dmg_m":0,"return_doc":14}
Send TMS Result  : False
Truckload No.    : TM21070057
Return Date.     : 7/8/2021 12:00:00 AM
Tote L Max.      : 20
Tote M Max.      : 1
Doc Max.         : 5
G Tote L.        : 20
G Tote M.        : 1
D Tote L.        : 0
D Tote M.        : 0
Doc.             : 5
